Дата проведения аукциона	Срок депозита	Ставка отсечения	Средневзвешенная ставка	Количество КО	Количество регионов России	Минимальное предложение КО процентных ставок	Максимальное предложение КО процентных ставок	Объем предложения (млрд рублей)	Максимальный объем привлекаемых денежных средств, (млрд рублей)	Объем привлеченных денежных средств, (млрд рублей)	Примечание
25.04.2017	1 неделя	9,65 %	9,58 %	181	59	9,30 %	9,75 %	912,2	360	360,0	
18.04.2017	1 неделя	9,75 %	9,70 %	176	59	9,45 %	9,75 %	958,7	870	870,0	
11.04.2017	1 неделя	9,75 %	9,66 %	180	60	9,20 %	9,75 %	1 024,0	810	810,0	
11.04.2017	1 день	9,75 %	9,64 %	72	27	9,45 %	9,75 %	457,1	600	457,1	
10.04.2017	1 день	9,67 %	9,55 %	66	23	9,49 %	9,75 %	787,4	540	540,0	
07.04.2017	3 дня	9,70 %	9,59 %	49	18	9,35 %	9,75 %	660,7	350	350,0	
04.04.2017	1 неделя	9,75 %	9,62 %	159	60	9,20 %	9,75 %	399,8	740	399,8	
28.03.2017	1 неделя	9,64 %	9,56 %	161	59	8,80 %	9,75 %	769,0	320	320,0	
21.03.2017	1 неделя	9,90 %	9,88 %	175	60	9,50 %	10,00 %	1 115,2	600	600,0	
14.03.2017	1 неделя	9,95 %	9,90 %	178	61	9,80 %	10,00 %	1 355,3	880	880,0	
07.03.2017	1 неделя	9,99 %	9,91 %	180	58	9,75 %	10,00 %	1 214,7	780	780,0	
28.02.2017	1 неделя	9,99 %	9,93 %	175	58	9,50 %	10,00 %	926,4	780	780,0	
21.02.2017	1 неделя	9,98 %	9,90 %	166	55	9,75 %	10,00 %	489,6	440	440,0	
14.02.2017	1 неделя	10,00 %	9,96 %	171	57	9,65 %	10,00 %	909,7	870	870,0	
07.02.2017	1 неделя	10,00 %	9,93 %	170	56	9,50 %	10,00 %	798,6	710	710,0	
07.02.2017	1 день	10,00 %	9,85 %	53	18	9,20 %	10,00 %	274,9	380	274,9	
31.01.2017	1 неделя	9,94 %	9,89 %	159	57	9,65 %	10,00 %	647,7	320	320,0	
24.01.2017	1 неделя	10,00 %	9,96 %	172	55	9,75 %	10,00 %	845,7	710	710,0	
17.01.2017	1 неделя	10,00 %	9,97 %	168	58	9,79 %	10,00 %	766,2	720	720,0	
10.01.2017	1 неделя	10,00 %	9,95 %	158	58	9,50 %	10,00 %	526,6	600	526,6	
27.12.2016	1 неделя	10,00 %	9,94 %	146	58	9,70 %	10,00 %	397,0	620	397,0	
20.12.2016	1 неделя	10,00 %	9,97 %	135	55	9,60 %	10,00 %	415,4	410	410,0	
13.12.2016	1 неделя	10,00 %	9,94 %	150	57	9,00 %	10,00 %	308,3	290	290,0	
06.12.2016	1 неделя	10,00 %	9,93 %	142	55	9,60 %	10,00 %	253,0	320	253,0	
29.11.2016	1 неделя	10,00 %	9,94 %	139	54	9,70 %	10,00 %	303,3	330	303,3	
22.11.2016	1 неделя	10,00 %	9,91 %	144	51	9,49 %	10,00 %	299,0	390	299,0	
15.11.2016	1 неделя	10,00 %	9,89 %	142	53	9,50 %	10,00 %	326,6	310	310,0	
08.11.2016	1 неделя	10,00 %	9,91 %	152	52	9,48 %	10,00 %	496,7	520	496,7	
08.11.2016	1 день	10,00 %	9,74 %	89	23	9,40 %	10,00 %	682,9	700	682,9	
07.11.2016	1 день	9,75 %	9,49 %	59	20	9,24 %	10,00 %	550,8	370	370,0	
01.11.2016	1 неделя	10,00 %	9,94 %	124	50	9,70 %	10,00 %	251,7	530	251,7	
25.10.2016	1 неделя	10,00 %	9,93 %	116	48	9,69 %	10,00 %	201,8	550	201,8	
18.10.2016	1 неделя	10,00 %	9,89 %	116	48	9,60 %	10,00 %	222,6	400	222,6	
11.10.2016	1 неделя	10,00 %	9,83 %	114	49	9,50 %	10,00 %	148,6	140	140,0	
04.10.2016	1 неделя	10,00 %	9,89 %	131	48	9,50 %	10,00 %	277,1	620	277,1	
04.10.2016	1 день	10,00 %	9,87 %	37	16	9,50 %	10,00 %	94,2	380	94,2	
27.09.2016	1 неделя	9,85 %	9,80 %	119	43	9,35 %	10,00 %	312,6	180	180,0	
13.09.2016	1 неделя	10,48 %	10,39 %	141	49	10,00 %	10,50 %	457,8	400	400,0	
06.09.2016	1 неделя	10,40 %	10,36 %	138	45	10,20 %	10,50 %	483,8	190	190,0	
05.09.2016	2 дня	10,50 %	10,33 %	37	11	9,90 %	10,50 %	76,1	250	76,1	
30.08.2016	1 неделя	10,50 %	10,41 %	76	35	10,00 %	10,50 %	220,8	280	220,8	
09.08.2016	1 неделя	10,40 %	10,22 %	62	28	9,75 %	10,50 %	186,9	100	100,0	
